size,min,avg,max
228,314.55,331.41,355.50
229,319.33,330.76,348.12
230,316.24,332.20,373.53
231,316.97,327.10,353.87
232,314.83,327.23,341.41
233,312.88,326.51,345.72
234,315.97,326.83,339.77
235,312.45,328.55,355.20
236,314.29,326.31,354.41
237,314.48,335.53,383.83
238,324.09,335.74,357.80
239,316.81,328.48,346.34
240,311.96,327.31,344.07
241,313.86,325.95,343.93
242,313.63,326.59,347.46
243,314.60,326.19,342.67
244,313.64,324.81,335.63
245,314.24,324.78,334.96
246,312.93,325.56,341.07
247,311.01,329.76,356.99
248,314.38,324.53,339.41
249,311.83,325.31,342.26
250,312.01,324.24,338.25
251,311.03,324.28,345.98
252,313.62,325.12,343.53
253,311.12,323.49,345.54
254,313.52,324.48,342.65
255,310.69,327.71,354.29
256,317.58,335.74,355.57
257,315.48,328.87,361.66
258,313.07,325.75,340.85
259,310.59,324.49,343.27
260,312.49,324.74,355.11
261,307.89,323.65,346.06
262,307.91,322.12,337.83
263,305.86,322.81,347.37
264,300.31,323.99,344.91
265,306.85,324.35,345.20
266,299.97,325.09,351.58
267,307.09,325.72,358.77
268,319.80,332.96,357.35
269,317.13,329.60,348.45
270,315.63,325.61,339.01
271,315.63,328.18,348.66
272,311.73,324.73,347.17
273,315.51,333.74,385.57
274,320.09,328.24,340.60
275,315.40,327.36,352.32
276,315.37,324.59,337.10
277,315.26,324.85,352.91
278,314.75,324.66,347.68
279,314.15,322.94,334.30
280,315.16,324.65,351.90
281,314.27,323.52,354.28
282,313.12,333.24,384.82
283,318.18,328.01,343.32
284,315.80,326.42,350.74
285,314.47,325.02,338.98
286,313.11,325.01,358.58
287,315.00,324.77,348.47
288,305.59,322.47,342.69
289,313.11,322.78,342.43
290,313.48,323.34,341.72
291,313.37,326.59,369.11
292,312.41,323.25,349.81
293,310.53,322.66,339.24
294,308.40,322.33,341.68
295,310.42,323.20,340.29
296,311.52,322.44,341.00
297,304.60,321.79,336.20
298,309.64,322.41,341.95
299,303.61,323.56,351.36
300,308.07,325.00,363.57
301,312.71,323.42,342.39
302,310.21,322.47,342.43
303,309.94,323.13,366.96
304,312.57,324.95,341.87
305,311.88,323.85,337.41
306,310.65,323.44,339.50
307,310.81,323.76,355.26
308,310.21,325.80,355.76
309,309.76,323.68,362.91
310,309.26,323.73,342.09
311,311.31,331.86,369.34
312,319.05,330.57,352.39
313,316.79,328.39,348.83
314,314.85,326.79,340.98
315,313.26,329.09,355.03
316,312.70,325.17,337.44
317,305.47,328.16,350.15
318,315.48,332.06,367.31
319,314.28,328.12,351.97
320,313.49,334.14,365.62
321,329.09,342.31,360.24
322,318.89,339.32,359.85
323,325.49,336.43,354.21
324,321.62,337.17,366.31
325,319.93,337.26,366.16
326,320.89,338.67,373.68
327,321.09,335.49,357.00
328,313.76,333.18,362.17
329,319.30,332.18,356.00
330,313.73,331.61,347.92
331,316.32,330.84,350.91
332,316.47,330.65,347.61
333,311.90,328.41,345.42
334,315.27,331.61,363.21
335,315.60,327.06,348.68
336,314.53,327.61,343.64
337,314.24,326.80,343.14
338,313.47,326.80,351.54
339,314.18,329.51,357.96
340,312.57,326.25,341.53
341,313.15,326.41,348.04
342,313.72,325.97,351.25
343,322.13,337.00,354.47
344,320.64,332.42,359.40
345,318.36,330.32,358.58
346,311.54,329.60,353.25
347,317.66,328.94,344.50
348,315.33,326.79,341.08
349,314.56,326.54,346.78
350,309.46,325.83,347.97
351,312.57,327.84,355.59
352,312.91,326.61,342.42
353,313.28,325.78,354.46
354,312.03,327.41,358.86
355,323.54,336.10,353.97
356,318.68,333.32,347.34
357,310.92,330.80,349.17
358,317.21,331.79,350.13
359,314.50,327.19,345.59
360,312.87,331.08,355.54
361,311.67,326.04,346.90
362,319.38,333.68,368.35
363,315.79,329.02,347.08
