size,min,avg,max
997,410.53,421.50,434.94
998,409.57,419.84,439.16
999,408.11,421.65,440.95
1000,409.91,427.07,500.58
1001,417.07,427.00,448.48
1002,413.53,423.80,440.43
1003,413.38,423.08,437.70
1004,413.87,422.46,437.15
1005,410.62,420.74,431.84
1006,411.03,425.88,459.79
1007,409.72,423.10,451.82
1008,409.38,430.42,460.67
1009,420.39,430.16,455.03
1010,418.84,427.22,443.14
1011,417.12,424.73,439.33
1012,416.86,428.34,456.99
1013,413.33,428.86,458.79
1014,414.54,429.21,455.25
1015,413.41,422.63,444.03
1016,413.04,422.69,443.83
1017,412.71,424.45,447.80
1018,412.65,424.71,450.55
1019,411.66,426.14,448.86
1020,411.66,427.68,463.24
1021,411.66,423.74,441.68
1022,412.92,422.21,439.84
1023,413.87,422.23,435.09
1024,413.57,423.30,443.58
